ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
smoothie,2705513,"Fruit smoothie, NFS",4.64,1.41,2.94,1.33,4.36,1.22,3.93,0.0,0,10.56,6.15,1.06,0,1.07,0,3.5,7.69,1.94,4.18,0,0,0,0.0,5.36,0,3.33,3.36,0,3.78,0.0,0,0,0,3.7,2.15
snapper,2706283,"Fish, snapper",45.6,8.03,7.75,15.67,2.83,14.35,1.07,0.0,0,1.44,3.38,4.33,0,11.33,0,11.5,4.0,6.12,24.41,0,0,0,0.0,17.84,0,8.81,4.36,0,5.33,0.0,0,0,0,9.66,13.27
sorbet,2709314,Sorbet,1.58,0.06,0.0,0.0,9.85,0.57,1.79,0.0,0,5.78,0.23,0.94,0,0.0,0,0.5,0.69,0.51,0.76,0,0,0,0.0,0.24,0,0.48,0.36,0,0.78,0.0,0,0,0,0.6,0.73
sour cream,2705614,"Sour cream, regular",6.14,23.08,53.5,17.67,2.02,2.17,0.0,0.0,0,1.0,8.23,0.0,0,2.53,0,3.58,12.92,0.62,2.24,0,0,0,0.0,8.16,0,2.38,3.55,0,0.0,0.0,0,0,0,3.28,3.49
sourdough,2619201,SOURDOUGH,21.22,3.88,0.0,0.0,26.45,34.91,10.71,0.0,0,6.11,2.31,6.06,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
soy,2707433,Soy nuts,77.2,32.56,18.35,0.0,10.98,7.09,63.21,0.0,0,2.44,10.62,21.67,0,6.07,0,8.33,11.15,8.81,12.24,0,0,0,0.0,29.04,0,34.52,28.55,0,92.0,0.0,0,0,0,31.28,22.55
soy sauce,2707442,Soy sauce,16.28,0.73,0.36,0.0,1.79,238.7,2.86,0.0,0,0.0,2.54,8.06,0,0.0,0,2.75,12.69,13.75,8.71,0,0,0,0.0,13.28,0,17.62,7.91,0,4.78,0.0,0,0,0,9.26,3.33
sparkling wine,2710687,"Wine, sparkling",0.14,0.0,0.0,0.0,0.84,0.22,0.0,0.0,0,0.0,0.69,1.67,0,0.0,0,0.33,1.08,0.66,2.59,0,0,0,0.0,1.36,0,2.38,1.0,0,0.56,0.0,0,0,0,1.57,0.8
spice,2670922,"SPICE BLEND, SPICE",0.0,0.0,0.0,0.0,0.0,1260.87,0.0,0.0,0,0.0,7.69,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,10.64,0.0
spinach,168462,"Spinach, raw",5.72,0.5,0.32,0.0,1.32,3.43,7.86,0.0,0,31.22,7.62,15.06,0,13.53,0,6.5,14.54,4.52,11.47,0,0,0,1.3,3.92,0,18.81,4.82,0,14.44,39.0,0,0,0,11.87,3.51
spirit,171919,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.78,0,0,0,0.04,0.0
squash,2709693,"Winter squash, raw",2.0,0.13,0.26,0.0,2.36,0.04,1.79,0.0,0,10.0,1.62,4.44,0,7.07,0,4.17,8.46,3.75,3.59,0,0,0,0.0,3.52,0,2.86,2.91,0,14.11,0.0,0,0,0,7.23,1.49
squid,174223,"Mollusks, squid, mixed species, raw",31.16,1.77,1.79,77.67,1.12,1.91,0.0,0.0,0,5.22,2.46,3.78,0,8.0,0,1.67,31.69,13.59,3.29,0,0,0,10.0,17.68,0,7.86,13.91,0,210.11,1.52,0,0,0,5.23,11.82
steak,2705824,"Beef, steak, NFS",54.0,16.54,26.45,27.67,0.0,16.04,0.0,0.0,0,0.0,1.23,14.67,0,1.73,0,5.92,19.62,41.81,38.53,0,0,0,0.0,17.68,0,5.0,46.18,0,8.11,0.0,0,0,0,6.83,14.07
stock,172883,"Soup, stock, beef, home-prepared",3.94,0.12,0.18,0.0,0.44,8.61,0.0,0.0,0,0.0,0.62,1.5,0,0.07,0,2.75,7.0,5.45,3.24,0,0,0,0.0,2.48,0,1.67,1.55,0,5.56,0.0,0,0,0,3.94,0.87
strawberry,167762,"Strawberries, raw",1.34,0.38,0.07,0.0,2.79,0.04,7.14,0.0,0,65.33,1.23,2.28,0,1.93,0,2.0,1.69,2.41,2.76,0,0,0,2.5,1.92,0,3.1,1.27,0,5.33,16.78,0,0,0,3.26,1.04
sugar snap pea,170010,"Peas, edible-podded, raw",5.6,0.26,0.19,0.0,2.75,0.17,9.29,0.0,0,66.67,3.31,11.56,0,2.6,0,12.5,6.15,3.75,9.41,0,0,0,15.0,4.24,0,5.71,2.45,0,8.78,10.61,0,0,0,4.26,3.16
sweet potato,2709697,"Sweet potato, NFS",3.16,5.81,5.55,1.0,6.22,7.0,10.71,0.0,0,13.78,1.69,2.22,0,5.87,0,3.33,4.38,2.54,8.06,0,0,0,0.0,2.96,0,4.52,3.09,0,20.56,0.0,0,0,0,10.23,2.27
swiss cheese,2705735,"Cheese, Swiss",54.0,39.74,91.0,31.0,0.52,8.04,0.0,0.0,0,0.0,68.46,0.72,0,4.0,0,0.92,23.31,0.38,4.12,0,0,0,0.0,45.92,0,7.86,39.73,0,5.22,0.0,0,0,0,1.51,2.51
swordfish,2706301,"Fish, swordfish",43.8,15.13,14.7,25.67,2.83,15.13,1.07,0.0,0,0.0,1.15,5.44,0,18.73,0,13.58,7.85,55.06,32.35,0,0,0,0.0,22.64,0,8.1,7.18,0,6.56,0.0,0,0,0,9.68,13.27
tamarind,2709269,Tamarind,5.6,0.77,1.36,0.0,22.73,1.22,18.21,0.0,0,3.89,5.69,15.56,0,0.67,0,35.67,11.69,12.12,3.88,0,0,0,0.0,9.04,0,21.9,0.91,0,9.56,0.0,0,0,0,13.36,1.56
tangerine,2709175,"Tangerine, raw",1.62,0.4,0.19,0.0,4.84,0.09,6.43,0.0,0,29.67,2.85,0.83,0,1.33,0,4.83,2.77,2.35,4.59,0,0,0,0.0,1.6,0,2.86,0.64,0,4.67,0.0,0,0,0,3.53,1.85
tapioca,169717,"Tapioca, pearl, dry",0.38,0.03,0.03,0.0,32.25,0.04,3.21,0.0,0,0.0,1.54,8.78,0,0.0,0,0.33,0.0,0.0,0.47,0,0,0,2.7,0.56,0,0.24,1.09,0,2.22,4.78,0,0,0,0.23,0.22
tarragon,170937,"Spices, tarragon, dried",45.54,9.28,9.4,0.0,18.26,2.7,26.43,0.0,0,55.56,87.62,179.44,0,0.0,0,20.92,103.0,55.94,141.76,0,0,0,0.0,25.04,0,82.62,35.45,0,75.22,346.39,0,0,0,64.26,0.0
tart,175069,"Tart, breakfast, low fat",7.98,7.68,6.97,0.0,27.93,15.7,5.36,0.0,0,4.22,3.38,19.0,0,3.53,0,23.75,42.23,23.75,22.35,0,0,0,0.0,7.44,0,10.48,2.55,0,8.11,0.0,0,0,0,1.4,1.53
tea,2710502,"Tea, hot, herbal",0.0,0.0,0.01,0.0,0.07,0.04,0.0,0.0,0,0.0,0.15,0.44,0,0.0,0,0.83,0.31,0.0,0.0,0,0,0,0.0,0.0,0,0.24,0.36,0,1.67,0.0,0,0,0,0.19,0.07
tequila,2710705,Tequila,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
thyme,173470,"Thyme, fresh",11.12,2.15,2.34,0.0,8.89,0.39,50.0,0.0,0,177.89,31.15,96.94,0,0.0,0,4.0,36.23,11.4,20.47,0,0,0,8.18,8.48,0,38.1,16.45,0,61.67,74.74,0,0,0,12.96,0.0
tilapia,175176,"Fish, tilapia, raw",40.16,2.18,2.92,16.67,0.0,2.26,0.0,0.0,0,0.0,0.77,3.11,0,2.67,0,3.42,4.85,24.39,9.53,0,0,0,9.74,13.6,0,6.43,3.0,0,8.33,1.61,0,0,0,6.43,7.73
tofu,174292,"MORI-NU, Tofu, silken, soft",9.6,3.46,1.78,0.0,1.05,0.22,0.36,0.0,0,0.0,2.38,4.56,0,0.0,0,8.33,3.08,1.88,0.65,0,0,0,0.0,4.96,0,6.9,4.73,0,23.0,0.0,0,0,0,3.83,0.0
tomatillo,168566,"Tomatillos, raw",1.92,1.31,0.7,0.0,2.12,0.04,6.79,0.0,0,13.0,0.54,3.44,0,2.53,0,3.67,2.69,11.56,3.29,0,0,0,3.0,3.12,0,4.76,2.0,0,8.78,6.65,0,0,0,5.7,1.38
tomato,2709719,"Tomatoes, raw",1.64,0.4,0.14,0.0,1.47,0.17,4.29,0.0,0,18.11,0.77,1.22,0,3.87,0,3.83,1.38,3.73,4.59,0,0,0,0.0,1.84,0,2.38,1.36,0,5.67,0.0,0,0,0,4.81,1.27
tortillas,2707822,"Tortilla, NFS",13.9,6.95,8.45,0.0,17.09,16.17,17.5,0.0,0,0.0,8.77,13.5,0,0.93,0,24.83,13.38,18.5,8.18,0,0,0,0.0,20.8,0,11.19,8.36,0,14.33,0.0,0,0,0,3.32,1.93
triple sec,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
tropical fruit,2579687,TROPICAL FRUIT,1.42,0.0,0.0,0.0,5.2,0.0,7.5,0.0,0,42.89,0.0,1.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,4.11,0.0
trout,175154,"Fish, trout, rainbow, wild, raw",40.96,4.44,3.61,19.67,0.0,1.35,0.0,0.0,0,2.67,5.15,3.89,0,0.0,0,10.25,8.08,33.65,23.88,0,0,0,18.56,21.68,0,7.38,9.82,0,12.11,6.87,0,0,0,10.23,0.0
tuna,173706,"Fish, tuna, fresh, bluefin, raw",46.66,6.28,6.28,12.67,0.0,1.7,0.0,0.0,0,0.0,0.62,5.67,0,6.67,0,20.08,19.31,54.09,26.76,0,0,0,21.08,20.32,0,11.9,5.45,0,9.56,0.65,0,0,0,5.36,11.82
turkey,2706104,"Turkey, NFS",57.6,2.64,2.94,25.33,0.0,20.3,0.0,0.0,0,0.0,0.85,3.61,0,0.4,0,3.0,15.69,73.12,44.88,0,0,0,0.0,18.96,0,7.38,14.82,0,6.89,0.0,0,0,0,5.26,14.2
turnip,2709809,"Turnip, raw",1.8,0.13,0.05,0.0,2.34,2.91,6.43,0.0,0,23.33,2.31,1.67,0,0.2,0,3.33,2.31,2.5,5.29,0,0,0,0.0,2.16,0,2.62,2.45,0,9.44,0.0,0,0,0,4.06,2.02
vanilla,173471,Vanilla extract,0.12,0.08,0.05,0.0,4.6,0.39,0.0,0.0,0,0.0,0.85,0.67,0,0.0,0,0.92,7.31,2.66,1.53,0,0,0,0.7,0.48,0,2.86,1.0,0,8.0,10.0,0,0,0,3.15,0.0
veal,175290,"Veal, ground, raw",37.16,16.74,25.54,16.33,0.0,4.48,0.0,0.0,0,0.0,0.92,7.61,0,3.27,0,9.42,21.54,34.5,26.24,0,0,0,13.4,15.76,0,7.38,22.82,0,9.78,0.35,0,0,0,4.21,17.55
venison,2705913,"Venison, NFS",56.2,6.74,13.25,29.33,0.0,16.26,0.0,0.0,0,0.0,0.77,20.5,0,4.27,0,32.33,32.08,62.06,35.71,0,0,0,0.0,20.0,0,6.43,39.82,0,18.0,0.0,0,0,0,8.04,19.45
vermouth,175112,"Alcoholic beverage, wine, dessert, dry",0.4,0.0,0.0,0.0,4.24,0.39,0.0,0.0,0,0.0,0.62,1.33,0,0.0,0,1.5,1.38,1.33,0.0,0,0,0,0.64,0.72,0,2.14,0.64,0,5.0,5.17,0,0,0,1.96,0.0
vinegar,172237,"Vinegar, distilled",0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0,0.0,0.46,0.17,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.32,0,0.24,0.09,0,0.67,2.39,0,0,0,0.04,0.0
vodka,174818,"Alcoholic beverage, distilled, vodka, 80 proof",0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.06,0,0.0,0,0.42,0.54,0.0,0.0,0,0,0,0.0,0.4,0,0.0,0.0,0,1.11,0.0,0,0,0,0.02,0.0
waffle,2708312,"Waffle, NFS",14.84,12.17,11.4,4.33,17.6,20.0,9.29,0.0,0,0.0,23.0,36.61,0,4.53,0,46.92,49.85,49.62,65.29,0,0,0,0.0,35.52,0,5.24,4.36,0,4.11,0.0,0,0,0,2.94,5.11
walnut,170187,"Nuts, walnuts, english",30.46,83.6,30.63,0.0,4.99,0.09,23.93,0.0,0,1.44,7.54,16.17,0,4.67,0,28.42,11.54,7.03,31.59,0,0,0,11.4,27.68,0,37.62,28.09,0,176.22,148.43,0,0,0,9.38,7.13
wasabi,171831,Wasabi,4.46,13.97,10.15,0.0,16.77,147.39,21.79,0.0,0,0.0,3.15,2.78,0,26.07,0,4.17,5.38,1.0,2.94,0,0,0,0.0,2.08,0,5.0,5.55,0,6.11,5.96,0,0,0,3.87,0.42
watercress,170068,"Watercress, raw",4.6,0.13,0.14,0.0,0.47,1.78,1.79,0.0,0,47.78,9.23,1.11,0,6.67,0,7.5,9.23,1.25,7.59,0,0,0,6.2,4.8,0,5.0,1.0,0,8.56,10.61,0,0,0,7.02,1.64
watermelon,167765,"Watermelon, raw",1.22,0.19,0.08,0.0,2.75,0.04,1.43,0.0,0,9.0,0.54,1.33,0,0.33,0,2.75,1.62,1.11,2.65,0,0,0,4.42,0.88,0,2.38,0.91,0,4.67,1.65,0,0,0,2.38,0.75
whiskey,2710700,Whiskey,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
white wine,2710689,"Wine, white",0.14,0.0,0.0,0.0,0.95,0.22,0.0,0.0,0,0.0,0.69,1.5,0,0.0,0,0.42,1.15,0.68,2.94,0,0,0,0.0,1.44,0,2.38,1.09,0,0.44,0.0,0,0,0,1.51,0.78
whole wheat,168944,"Wheat flour, whole-grain, soft wheat",19.22,2.5,2.15,0.0,27.08,0.13,46.79,0.0,0,0.0,2.54,20.61,0,3.53,0,24.75,14.46,33.42,11.24,0,0,0,20.22,25.84,0,27.86,26.91,0,52.78,147.78,0,0,0,8.38,5.67
wild rice,169726,"Wild rice, raw",29.46,1.38,0.78,0.0,27.24,0.3,22.14,0.0,0,0.0,1.62,10.89,0,5.47,0,9.58,20.15,42.08,23.0,0,0,0,21.48,34.64,0,42.14,54.18,0,58.22,57.78,0,0,0,9.09,6.36
wine,2710688,"Wine, red",0.14,0.0,0.0,0.0,0.95,0.17,0.0,0.0,0,0.0,0.62,2.56,0,0.0,0,0.42,2.38,1.4,3.35,0,0,0,0.0,1.84,0,2.86,1.27,0,1.22,0.0,0,0,0,2.7,1.04
yellow squash,2709807,"Summer squash, yellow, raw",2.02,0.35,0.46,0.0,1.41,0.09,3.57,0.0,0,21.44,1.62,2.44,0,0.87,0,4.25,3.15,2.8,6.12,0,0,0,0.0,2.56,0,4.76,2.64,0,10.22,0.0,0,0,0,4.72,1.29
yogurt,2705414,"Yogurt, NFS",13.34,3.68,8.15,3.67,3.71,2.13,0.36,0.0,0,1.11,10.46,0.39,0,0.2,0,4.0,16.92,1.03,2.59,0,0,0,0.0,10.08,0,3.1,5.64,0,2.0,0.0,0,0,0,3.81,2.69
yuca,2709565,Yuca fries,2.48,17.82,9.5,0.0,12.62,6.7,5.71,0.0,0,16.67,1.15,1.5,0,18.47,0,5.25,3.23,4.62,4.47,0,0,0,0.0,2.0,0,4.52,2.82,0,10.11,0.0,0,0,0,5.26,3.93
zucchini,168565,"Squash, zucchini, baby, raw",5.42,0.51,0.41,0.0,1.13,0.13,3.93,0.0,0,37.89,1.62,4.39,0,0.0,0,3.5,2.77,4.41,8.35,0,0,0,7.34,7.44,0,7.86,7.55,0,10.78,8.52,0,0,0,9.77,0.0
