ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
buttermilk,2259792,"Buttermilk, low fat",6.93,1.39,2.76,1.6,1.75,4.02,0.0,0.0,0,0.0,9.24,0.07,0,0.0,0,4.04,15.1,0.8,2.31,0,0,0,0.0,7.38,0,2.63,3.88,0,0.15,0.0,0,0,0,3.36,0.0
butternut squash,2685570,"Squash, winter, butternut, raw",2.3,0.21,0.0,0.0,3.82,0.0,7.0,0.0,0,8.44,1.67,1.18,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,2.12,0,3.56,1.75,0,8.14,3.28,0,0,0,7.0,0.0
cabbage,2346407,"Cabbage, green, raw",1.92,0.29,0.0,0.0,2.32,0.7,0.0,0.0,0,44.82,3.22,0.37,0,0.0,0,0.0,0.0,0.0,8.14,0,0,0,0.0,2.15,0,3.3,1.92,0,0.0,10.78,0,0,0,4.41,0.0
calvados,2710699,Brandy,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
campari,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
candy,167974,"Candies, caramels",9.2,10.38,12.38,2.33,28.0,10.65,0.0,0.0,0,0.44,10.62,0.78,0,3.07,0,8.58,19.69,0.92,3.29,0,0,0,12.4,9.12,0,4.05,4.0,0,2.0,0.48,0,0,0,4.55,1.45
cantaloupe,169092,"Melons, cantaloupe, raw",1.68,0.24,0.25,0.0,2.97,0.7,3.21,0.0,0,40.78,0.69,1.17,0,0.33,0,3.42,1.46,4.59,4.24,0,0,0,2.1,1.2,0,2.86,1.64,0,4.56,1.78,0,0,0,5.68,1.38
capers,172238,"Capers, canned",4.72,1.1,1.17,0.0,1.78,102.09,11.43,0.0,0,4.78,3.08,9.28,0,5.87,0,1.5,10.69,4.08,1.35,0,0,0,0.54,0.8,0,7.86,2.91,0,41.56,3.39,0,0,0,0.85,1.18
caramel,167974,"Candies, caramels",9.2,10.38,12.38,2.33,28.0,10.65,0.0,0.0,0,0.44,10.62,0.78,0,3.07,0,8.58,19.69,0.92,3.29,0,0,0,12.4,9.12,0,4.05,4.0,0,2.0,0.48,0,0,0,4.55,1.45
caraway,173413,"Cheese, caraway",50.36,37.44,92.92,31.0,1.11,30.0,0.0,0.0,0,0.0,51.77,3.56,0,0.0,0,2.58,34.62,1.12,4.35,0,0,0,3.8,39.2,0,5.24,26.73,0,2.67,0.91,0,0,0,1.98,0.0
cardamom,170919,"Spices, cardamom",21.52,8.59,3.4,0.0,24.9,0.78,100.0,0.0,0,23.33,29.46,77.61,0,0.0,0,16.5,14.0,6.89,13.53,0,0,0,0.0,14.24,0,54.52,67.91,0,42.56,1217.39,0,0,0,23.81,0.0
carrot,2258586,"Carrots, mature, raw",1.88,0.45,0.0,0.0,3.73,3.77,11.05,0.0,0,0.0,2.34,0.84,0,0.0,0,5.42,7.31,8.79,8.56,0,0,0,0.0,3.18,0,2.96,2.15,0,6.83,5.66,0,0,0,5.95,0.0
